modulation_type,symbol,magnitude,phase,caf_1,caf_2,caf_3,caf_4,caf_5,scd_mean,scd_max
16apsk,(-0.9762210399274299-0.5636214801906777j),1.1272429603813559,-2.617993877991495,0.3181314466132472,0.002926196272794921,0.21866244330078866,0.24570318897340207,0.12761128040015063,0.31813144661324727,0.3181314466132473
64apsk,(0.8647946790368033+0j),0.8647946790368033,0.0,0.3627824486312547,0.02912630244252526,0.31451631873311275,0.33414399713666376,0.1336068544796489,0.3627824486312547,0.3627824486312548
256apsk,(-0.38209935098220543+1.1040035711418574j),1.1682567351036315,1.9039955476301778,0.3059495240635726,0.004814033259868017,0.23289155132252515,0.2656565124927308,0.14426877343769032,0.30594952406357256,0.3059495240635728
qpsk,(1-1j),1.4142135623730951,-0.7853981633974483,0.49936929062005886,0.17064717485912254,0.5073530417245615,0.4251719517291918,0.06382352684412468,0.49936929062005897,0.499369290620059
16apsk,(0.563621480190678+0.9762210399274296j),1.1272429603813559,1.0471975511965976,0.294934508604778,0.004206732070845017,0.19929464364908867,0.22142052544386867,0.11538799829620568,0.294934508604778,0.2949345086047781
32apsk,(0.4730441934550127-1.142029707440933j),1.2361240478362705,-1.1780972450961722,0.322196484904639,0.018663518734973596,0.2619349061854662,0.24651573343847966,0.10795923549296364,0.3221964849046389,0.32219648490463904
128apsk,(-1.2991228265220184e-16-0.7072095276376931j),0.7072095276376931,-1.5707963267948968,0.2629835200999483,0.02652200242688742,0.23788540860185312,0.2601978090386367,0.12164019211151866,0.26298352009994824,0.26298352009994835
qpsk,(-1+1j),1.4142135623730951,2.356194490192345,0.6032315610205617,0.045877452375080396,0.4876718591784356,0.49783176212174896,0.19158857368152263,0.6032315610205616,0.603231561020562
32apsk,(-0.38721958124991634-0.6706839884103994j),0.774439162499832,-2.0943951023931957,0.34533469239319764,0.019568455819258205,0.25063031039433,0.34795910160892,0.24677068206555855,0.3453346923931977,0.3453346923931977
qpsk,(1-1j),1.4142135623730951,-0.7853981633974483,0.6164999001514857,0.002545366134457982,0.43719656755195485,0.5064268237208541,0.28758920348269973,0.6164999001514856,0.6164999001514858
256apsk,(0.35410900375970444+0.20444492864313552j),0.4088898572862711,0.5235987755982988,0.3114236849489002,0.014469815509391628,0.23525073051632703,0.24451839449779444,0.10375680263333982,0.31142368494890027,0.3114236849489003
8apsk,(-0.9531574863344378-0.459016453145049j),1.0579249964025073,-2.6927937030769655,0.3352707849748658,0.005023416672529274,0.23615327640908362,0.2790737201175314,0.16897783819501488,0.33527078497486584,0.33527078497486595
128apsk,(0.21853976262392624+0.6725962296458454j),0.707209527637693,1.2566370614359172,0.3538291545245972,0.03334766955586126,0.3403907231390401,0.38929740199197616,0.1839325965685006,0.3538291545245973,0.35382915452459734
16apsk,(0.9762210399274294-0.5636214801906785j),1.1272429603813559,-0.5235987755982995,0.2886735197696461,0.03682069304265664,0.2588952368017348,0.2629224518288351,0.10134118730826827,0.28867351976964617,0.2886735197696462
32apsk,(-0.29786121634608925+3.647747851883755e-17j),0.29786121634608925,3.141592653589793,0.2681209605752051,0.012614170477857697,0.21887011309679394,0.24609065874516492,0.12327446665238757,0.26812096057520507,0.2681209605752052
bpsk,(-1+0j),1.0,3.141592653589793,0.2454019479693786,0.0409142785810086,0.20628392728756953,0.22915644269451382,0.11628981233768698,0.24540194796937867,0.24540194796937875
qpsk,(1+1j),1.4142135623730951,0.7853981633974483,0.5991038699793089,0.02881196749184448,0.4484592877205133,0.4586227596182591,0.18691571609231672,0.5991038699793088,0.5991038699793091
256apsk,(1.1471448139686922+0.2210940408507924j),1.168256735103632,0.19039955476301776,0.3128936769178858,0.0038383236142351335,0.23406861574612936,0.274596014742949,0.1623924345825348,0.3128936769178857,0.31289367691788583
64apsk,(0.5083135585988355-0.6996335919858021j),0.8647946790368033,-0.9424777960769383,0.30308531201711164,0.010473966139493474,0.20563305781967828,0.2771089155022201,0.1761134995883435,0.30308531201711164,0.3030853120171118
8apsk,(0.6596054463884006-0.8271190682773576j),1.0579249964025075,-0.8975979010256554,0.34126714478843795,0.009901565329760803,0.22579470816635328,0.2559832836750433,0.1534704492745145,0.3412671447884379,0.341267144788438
16apsk,(0.9762210399274298+0.5636214801906778j),1.1272429603813559,0.5235987755982987,0.33502169359732,0.02176703880764014,0.2636011714749692,0.27921116883419617,0.12570147390796982,0.3350216935973199,0.3350216935973201
64apsk,(-1.0590680356020837e-16-0.5765297860245355j),0.5765297860245355,-1.5707963267948968,0.2827384052349154,0.01160004848839849,0.18132283363891857,0.21728086838522087,0.1350720027173705,0.28273840523491545,0.2827384052349155
32apsk,(-0.4730441934550131-1.1420297074409327j),1.2361240478362705,-1.9634954084936214,0.3521669619738311,0.00479012052179963,0.2648157735298079,0.2878248005797945,0.15434083707189789,0.35216696197383124,0.3521669619738313
16apsk,(-0.9762210399274299-0.5636214801906777j),1.1272429603813559,-2.617993877991495,0.2432370776654944,0.024737730101035714,0.1429612404738326,0.1925372774934017,0.13010578087965716,0.24323707766549435,0.24323707766549446
32apsk,(-0.47304419345501236+1.142029707440933j),1.2361240478362705,1.9634954084936207,0.3123258988355296,0.014426911390293102,0.21192941897583048,0.26842675460433935,0.18066749196375181,0.3123258988355295,0.3123258988355297
16apsk,(6.902372416462071e-17+1.1272429603813559j),1.1272429603813559,1.5707963267948966,0.2694968757501692,0.03267034634063495,0.23706212204549718,0.2294100421718351,0.08189521199333301,0.2694968757501691,0.2694968757501693
8apsk,(-0.23541045825521645+1.0314006079876599j),1.0579249964025073,1.7951958020513104,0.33584187976757507,0.024866926666237976,0.21121133419375102,0.2710062735471635,0.19038887719499673,0.33584187976757507,0.3358418797675751
16apsk,(-7.964275865148543e-17-0.43355498476205995j),0.43355498476205995,-1.5707963267948968,0.21109566394406973,0.04033133596322128,0.20298888143735205,0.1829576931657699,0.030959760820109056,0.21109566394406976,0.21109566394406987
qpsk,(-1-1j),1.4142135623730951,-2.356194490192345,0.6004919044767847,0.06023873550967604,0.5162984955137522,0.49892248131624045,0.18862576681991408,0.6004919044767848,0.6004919044767849
8apsk,(-0.23541045825521667-1.0314006079876599j),1.0579249964025075,-1.7951958020513106,0.29873699787758057,0.02031927595497172,0.1948815204356939,0.25085506802085344,0.1729975661258315,0.2987369978775805,0.2987369978775807
16apsk,(2.654758621716181e-17+0.43355498476205995j),0.43355498476205995,1.5707963267948966,0.24319375755658382,0.013907028029664302,0.12249436143378281,0.12924635879955024,0.07085117319269751,0.2431937575565839,0.24319375755658398
bpsk,(-1+0j),1.0,3.141592653589793,0.25648448773518634,0.06902498375211549,0.25732149915871305,0.22889551220864052,0.06445047447476172,0.2564844877351864,0.2564844877351864
qpsk,(1+1j),1.4142135623730951,0.7853981633974483,0.6230501204573097,0.015688822568024494,0.48042101895165434,0.531284686556201,0.26001021969210164,0.6230501204573098,0.6230501204573099
bpsk,(1+0j),1.0,0.0,0.2486218092856429,0.04379732118180723,0.25002684370600753,0.25788813662850835,0.12115727281080303,0.24862180928564293,0.24862180928564304
32apsk,(-0.38721958124991634-0.6706839884103994j),0.774439162499832,-2.0943951023931957,0.3656118507531806,0.008972106437635411,0.28840169330996274,0.3224959278007631,0.1419132914643463,0.3656118507531806,0.36561185075318076
32apsk,(-0.6706839884103998-0.38721958124991585j),0.7744391624998321,-2.617993877991495,0.3100890722691169,0.020105086660939568,0.20750340800461708,0.2634322462067703,0.16911495751694341,0.31008907226911697,0.310089072269117
32apsk,(0.3872195812499161-0.6706839884103994j),0.774439162499832,-1.0471975511965976,0.21909283898981488,0.029550490888233742,0.2211755608472196,0.25438565255311085,0.1256724613722538,0.2190928389898148,0.21909283898981488
16apsk,(-0.5636214801906785-0.9762210399274296j),1.127242960381356,-2.094395102393196,0.30057666288030327,0.010080925314625238,0.24187724864083285,0.27301039741093236,0.1510275110521039,0.3005766628803034,0.30057666288030344
16apsk,(-0.43355498476205995+5.309517243432362e-17j),0.43355498476205995,3.141592653589793,0.2896963602800532,0.002242847791663525,0.2021350230509258,0.20671668104881913,0.07422348245147548,0.28969636028005313,0.2896963602800533
64apsk,(2.2063917408376747e-17+0.3603311162653347j),0.3603311162653347,1.5707963267948966,0.3277663520750116,0.030165036552237123,0.19852711013911176,0.24990663975039268,0.16001913364921452,0.3277663520750116,0.3277663520750117
bpsk,(1+0j),1.0,0.0,0.2683239393622608,0.06131710030942235,0.26918655093760296,0.2585109471111265,0.095546119805072,0.26832393936226084,0.26832393936226084
8apsk,(0.6596054463884007+0.8271190682773574j),1.0579249964025073,0.8975979010256552,0.31711053094761854,0.0014781155377804616,0.2278325334556153,0.25287044068627773,0.12559271712049355,0.3171105309476186,0.31711053094761865
128apsk,(-1.7715311270754798e-16-0.964376628596854j),0.964376628596854,-1.5707963267948968,0.31625485564841327,0.016011224433204182,0.25093840800381106,0.262126108541867,0.09919173200265906,0.31625485564841327,0.3162548556484133
8apsk,(-0.9531574863344378+0.4590164531450492j),1.0579249964025073,2.6927937030769655,0.3199835460002491,0.011727700717609521,0.22350218469376357,0.27083181840611575,0.1576547151764613,0.3199835460002491,0.31998354600024925
256apsk,(-0.055587893630220986+1.1669334964755929j),1.168256735103632,1.618396215485651,0.28095183209377167,0.01016559518579693,0.18097470933452817,0.20526868388971917,0.09826950548861679,0.2809518320937716,0.2809518320937718
qpsk,(1-1j),1.4142135623730951,-0.7853981633974483,0.6880249383479872,0.06073990651002699,0.4084397466331182,0.5460453715188116,0.3887048329550024,0.6880249383479873,0.6880249383479875
8apsk,(-0.9531574863344378-0.459016453145049j),1.0579249964025073,-2.6927937030769655,0.3192870394905882,0.022992271815109967,0.20862017535026783,0.27505847575986264,0.17529740449811088,0.31928703949058823,0.3192870394905883
128apsk,(-0.24109415714921373-0.41758732959043304j),0.48218831429842707,-2.0943951023931957,0.3116674074129699,0.005437658884826439,0.23266029381954786,0.2610831887543179,0.13489911255330522,0.3116674074129699,0.31166740741297
qpsk,(-1-1j),1.4142135623730951,-2.356194490192345,0.613814796617294,0.022528906908153665,0.406266799525655,0.45242300059801654,0.23833647924970763,0.6138147966172939,0.6138147966172941
256apsk,(-0.711853812279336-0.1624759873725088j),0.7301604594397698,-2.91719317833338,0.31307962708217885,0.011120799827068971,0.19951745311872782,0.23692593363156453,0.15621500495387985,0.3130796270821788,0.3130796270821789
